group,resource_type,cost_name,cost,unit
non_VRE,coal,capEx,2500,RMB/kW
non_VRE,coal,FOM,214,kRMB/MW*yr
non_VRE,coal,VOM,31,RMB/MWh
non_VRE,coal_ccs,capEx,NA,RMB/kW
non_VRE,coal_ccs,FOM,NA,kRMB/MW*yr
non_VRE,coal_ccs,VOM,NA,RMB/MWh
non_VRE,coal_chp,capEx,NA,RMB/kW
non_VRE,coal_chp,FOM,NA,RMB/kW*yr
non_VRE,coal_chp,VOM,NA,RMB/MWh
non_VRE,coal_chp_ccs,capEx,17800,RMB/kW
non_VRE,coal_chp_ccs,FOM,447,RMB/kW*yr
non_VRE,coal_chp_ccs,VOM,38,RMB/MWh
non_VRE,beccs,capEx,15700,RMB/kW
non_VRE,beccs,FOM,753,RMB/kW*yr
non_VRE,beccs,VOM,60,RMB/MWh
non_VRE,gas,capEx,NA,RMB/kW
non_VRE,gas,FOM,NA,RMB/kW*yr
non_VRE,gas,VOM,NA,RMB/MWh
non_VRE,gas_ccs,capEx,10500,RMB/kW
non_VRE,gas_ccs,FOM,263,RMB/kW*yr
non_VRE,gas_ccs,VOM,28,RMB/MWh
non_VRE,nuclear,capEx,15000,RMB/kW
non_VRE,nuclear,FOM,630,RMB/kW*yr
non_VRE,nuclear,VOM,14,RMB/MWh
non_VRE,hydro,capEx,10000,RMB/kW
non_VRE,hydro,FOM,230,RMB/kW*yr
VRE,onshore_wind,capEx,3000,RMB/kW
VRE,onshore_wind,FOM,45,RMB/kW*yr
VRE,offshore_wind,capEx,5400,RMB/kW
VRE,offshore_wind,FOM,81,RMB/kW*yr
VRE,centralized_pv,capEx,1500,RMB/kW
VRE,centralized_pv,FOM,7.5,RMB/kW*yr
VRE,distributed_pv,capEx,2000,RMB/kW
VRE,distributed_pv,FOM,10,RMB/kW*yr
storage,BAT,CapEx,675,RMB/kW
storage,BAT,FOM,18,RMB/kW*yr
storage,BAT,VOM,20,RMB/MWh
storage,CAES,CapEx,2400,RMB/kW
storage,CAES,FOM,50,RMB/kW*yr
storage,CAES,VOM,3,RMB/MWh
storage,PHS,CapEx,4800,RMB/kW
storage,PHS,FOM,39,RMB/kW*yr
storage,PHS,VOM,1.5,RMB/MWh
inter_prov_transmission,1000kV_substation,capEx,370,RMB/kW
inter_prov_transmission,800kV_substation,capEx,592,RMB/kW
inter_prov_transmission,750kV_substation,capEx,148,RMB/kW
inter_prov_transmission,500kV_substation,capEx,159,RMB/kW
inter_prov_transmission,1000kV_overhead,capEx,7080,kRMB/km
inter_prov_transmission,800kV_overhead,capEx,4950,kRMB/km
inter_prov_transmission,750kV_overhead,capEx,2990,kRMB/km
inter_prov_transmission,500kV_overhead,capEx,2640,kRMB/km
