guangdong,yangjiangshi,0.05
guangdong,suixixian,0.04
neimenggu,baotoushi,0.64963
gansu,jinchangshi,0.5803400000000001
shanxi,datongshi,0.54036
jiangsu,xiangshuixian,0.17800000000000002
hainan,wenchangshi,0.115
xinjiang,hebukesaiermengguzizhixian,0.14
xinjiang,hejingxian,0.17
yunnan,luquanxian,0.025
jiangxi,nanchangshi,0.2
gansu,tongweixian,0.07
xinjiang,tumushukeshi,0.33000000000000007
jiangsu,nantongshi,0.0096
gansu,jingtaixian,0.009800000000000001
xinjiang,hamishi,1.4300000000000008
shanxi,guxian,0.08
shandong,ziboshi,0.10600000000000001
neimenggu,wulateqianqi,0.25
shandong,zaozhuangshi,0.5900000000000002
hebei,zhangbeixian,0.4680000000000001
hebei,zhangjiakoushi,0.4800000000000001
fujian,zhangpuxian,0.081
sichuan,zhaojuexian,0.06
zhejiang,huzhoushi,0.215
jiangsu,peixian,0.02889
guangdong,leizhoushi,0.05
hebei,juluxian,0.099
shanxi,hejinshi,0.1
shanxi,yulinshi,0.5700000000000002
hubei,honganxian,0.05
shandong,dezhoushi,0.19809000000000002
hebei,kangbaoxian,0.164
hebei,huaianxian,0.096
ningxia,tongxinxian,0.11572
shanxi,hunyuanxian,0.16
qinghai,geermushi,0.7400000000000001
xinjiang,wulumuqishi,0.44000000000000006
shandong,zhuchengshi,0.048
guizhou,weiningyizuhuizumiaozuzizhixian,0.01661
zhejiang,xianjuxian,0.008400000000000001
heilongjiang,daqingshi,0.13
gansu,minyuexian,0.029
shandong,shenxian,0.07
shanxi,shenmuxian,0.56
jiangsu,fengxian,0.0985
shanxi,wuqixian,0.04
neimenggu,keerqinzuoyihouqi,0.0986
jiangsu,sheyangxian,0.033
henan,xinxian,0.056
jiangxi,fenyixian,0.21000000000000002
jiangsu,jinhuxian,0.058
anhui,wuweixian,0.02
jiangsu,yangzhoushi,0.011
gansu,zhangyeshi,0.049
jiangxi,nanchengxian,0.007
gansu,dunhuangshi,0.287
neimenggu,zhenglanqi,0.27142
gansu,yumenshi,0.109
neimenggu,chahaeryouyiqianqi,0.16
shanxi,wuqixian,0.050063
neimenggu,xinbaerhuzuoqi,0.05
sichuan,butuoxian,0.07
shandong,caoxian,0.12000000000000001
liaoning,zhaoyangshi,0.03
gansu,wuweishi,0.429
qinghai,gangchaxian,0.14
fujian,datianxian,0.06
shandong,chipingxian,0.09
jiangsu,huaianshi,0.043000000000000003
jiangsu,lianyungangshi,0.060000000000000005
hainan,dongfangshi,0.23099999999999998
gansu,minqinxian,0.528
gansu,jiuquanshi,0.11500000000000002
neimenggu,tumotezuoqi,0.27
jiangxi,wananxian,0.02
henan,guangshanxian,0.01
neimenggu,siziwangqi,0.331988
jilin,jilinshi,0.13998000000000002
xinjiang,jimusaerxian,0.02
neimenggu,wulanhaoteshi,0.1194
shandong,wudixian,0.345
