jiangsu,rudongxian,2.17698
shanxi,shenchixian,0.297
liaoning,fuxinshi,0.39705
liaoning,fuxinmengguzuzizhixian,0.9959999999999999
hebei,kangbaoxian,1.4950000000000003
shandong,zhaoyuanshi,0.0495
xinjiang,tulufanshi,0.14850000000000002
xinjiang,hamishi,0.0495
heilongjiang,huananxian,0.19200000000000003
heilongjiang,binxian,0.198
jilin,tongyuxian,0.246
guangxi,gongchengyaozuzizhixian,0.024
shandong,dongyingshi,1.1973000000000003
gansu,guazhouxian,1.9485000000000006
yunnan,fuyuanxian,0.096
yunnan,eryuanxian,0.40575
heilongjiang,yichunshi,0.21395000000000003
hainan,dongfangshi,0.28250000000000003
shanxi,hunyuanxian,0.29900000000000004
neimenggu,abagaqi,0.0495
xinjiang,tuokexunxian,0.0495
henan,sanmenxiashi,0.05
neimenggu,naimanqi,0.0495
yunnan,dalishi,0.243
hunan,chengbumiaozuzizhixian,0.0997
neimenggu,guyangxian,0.34850000000000003
heilongjiang,daqingshi,0.43949999999999995
yunnan,yaoanxian,0.186
neimenggu,wengniuteqi,0.294
neimenggu,chifengshi,1.0905500000000001
sichuan,butuoxian,0.099
heilongjiang,bolixian,0.0495
liaoning,beipiaoshi,0.2955
beijing,beijingshi,0.184
guizhou,hezhangxian,0.181
neimenggu,daerhanmaominganlianheqi,0.9460000000000001
neimenggu,wulatezhongqi,0.5438000000000001
fujian,anxixian,0.0198
jilin,daanshi,0.33899999999999997
liaoning,linghaishi,0.18150000000000002
henan,jiyuanshi,0.1015
shanghai,shanghaishi,0.5708000000000001
heilongjiang,jiamusishi,0.099
guangxi,fuchuanyaozuzizhixian,0.032
hunan,guiyangxian,0.1279
guizhou,dushanxian,0.048
guangdong,leizhoushi,0.1988
sichuan,jinyangxian,0.0495
liaoning,zhuangheshi,0.3
zhejiang,zhoushanshi,0.252
tianjin,tianjinshi,0.186
guangdong,zhuhaishi,0.213
fujian,pingtanxian,0.47200000000000003
jiangsu,yanchengshi,0.8
jiangsu,binhaixian,1.6096
jiangsu,donghaixian,0.1022
jiangsu,xinghuashi,0.07740000000000001
shandong,laizhoushi,0.0345
neimenggu,zhuozixian,0.0495
shandong,linquxian,0.23324999999999996
liaoning,wafangdianshi,0.10350000000000001
shandong,qixiashi,0.00775
yunnan,luopingxian,0.0495
henan,pingdingshanshi,0.078
shandong,rongchengshi,0.16875
shandong,pingyixian,0.0795
neimenggu,siziwangqi,0.099
shanxi,jiangxian,0.07200000000000001
shandong,linyishi,0.15
shanxi,zuoyunxian,0.0495
neimenggu,wulanhaoteshi,0.14850000000000002
guangdong,yangjiangshi,0.0495
neimenggu,chahaeryouyihouqi,0.14900000000000002
xinjiang,balikunhasakezizhixian,0.6069
hubei,huanggangshi,0.048
guizhou,douyunshi,0.1992
shanxi,youyuxian,0.15750000000000003
anhui,dangshanxian,0.033
shandong,zhangdaoxian,0.038599999999999995
guangdong,maomingshi,0.099
guangxi,pubeixian,0.1
henan,yexian,0.014
yunnan,nanhuaxian,0.199
heilongjiang,jixianxian,0.099
neimenggu,shangdouxian,0.0495
xinjiang,eminxian,0.14850000000000002
xinjiang,hamishi,4.845000000000002
jiangsu,nanjingshi,0.15
fujian,minqingxian,0.008
xinjiang,tachengshi,0.0954
gansu,jingyuanxian,0.14850000000000002
gansu,yumenshi,0.8034999999999999
heilongjiang,duerbotemengguzuzizhixian,0.294
fujian,fuqingshi,0.46454999999999996
shanxi,jingbianxian,0.44649999999999995
hebei,fengningmanzuzizhixian,0.596
chongqing,fengdouxian,0.099
liaoning,fakuxian,0.1466
heilongjiang,dongningshi,0.099
guangxi,fuchuanyaozuzizhixian,0.1935
shandong,wendengshi,0.0493
sichuan,guangyuanshi,0.036000000000000004
fujian,gutianxian,0.066
gansu,gulangxian,0.1
hubei,shishouxian,0.0495
liaoning,zhaoyangxian,0.0475
qinghai,geermushi,0.248
neimenggu,huhehaoteshi,0.099
shanxi,longxian,0.1
jilin,shuangliaoshi,0.1483
shanxi,shuozhoushi,0.45000000000000007
shanxi,pingshunxian,0.1285
henan,mianchixian,0.108
yunnan,qingshuixian,0.099
guangxi,hezhoushi,0.04
heilongjiang,daxinganlingshi,0.0495
gansu,jingtaixian,0.248
gansu,huanxian,0.5987
gansu,anxixian,0.3005
heilongjiang,fujinshi,0.099
shanxi,huanglongxian,0.0495
sichuan,dechangxian,0.201
fujian,lianjiangxian,0.078
guizhou,panxian,0.048
guizhou,congjiangxian,0.012
guizhou,zunyishi,0.048
yunnan,dayaoxian,0.0495
henan,baofengxian,0.046
hebei,zhangjiakoushi,0.24559999999999998
neimenggu,keshenketengqi,0.347
shanxi,dingbianxian,0.8975000000000002
shandong,laixishi,0.25
henan,lingbaoshi,0.04
liaoning,kalaqinzuoyimengguzuzizhixian,0.1275
henan,xinxian,0.0989
gansu,minqinxian,0.099
yunnan,kunmingshi,0.078
heilongjiang,kedongxian,0.0495
liaoning,kangpingxian,0.29964999999999997
yunnan,kaiyuanshi,0.0955
henan,junxian,0.0495
guizhou,sandoushuizuzizhixian,0.1
neimenggu,linxixian,0.14625
hunan,chenzhoushi,0.1343
hunan,ruchengxian,0.0495
liaoning,changtuxian,0.39459999999999995
neimenggu,chayouzhongqi,0.0495
hebei,cangxian,0.1
henan,ruzhoushi,0.048
xinjiang,ruoqiangxian,0.0495
hebei,huanghuashi,0.2
hunan,jiangyongxian,0.136
jilin,baichengshi,0.045
heilongjiang,jixishi,0.14850000000000002
guizhou,huishuixian,0.099
guizhou,longlixian,0.108
guizhou,lipingxian,0.318
shanxi,xiaxian,0.09
anhui,mingguangshi,0.0495
heilongjiang,zhaoyuanxian,0.0495
ningxia,wuzhongshi,0.2
