,item,2030,2035
0,demand_pwh,12.50000000000001,13.500000000000012
1,--------, , 
2,coal_unabated_pwh,4.39148636,3.43380769
3,coal_ccs_pwh,0.0,0.0
4,chp_ccs_pwh,0.0,0.0
5,gas_unabated_pwh,0.05694,0.05694
6,gas_ccs_pwh,0.0,0.0
7,--------, , 
8,coal_unabated_gw,1225.61,886.8399999999999
9,coal_ccs_gw,0.0,0.0
10,chp_ccs_gw,0.0,0.0
11,gas_unabated_gw,130.0,130.0
12,gas_ccs_gw,0.0,0.0
13,beccs_gw,0.0,0.0
14,bio_gw,35.010000000000005,35.010000000000005
15,hydro_gw,434.98,459.99
16,nuclear_gw,125.01999999999998,175.45999999999998
17,--------, , 
18,onshore_gw,858.1593007000055,1333.3930123804053
19,offshore_gw,109.00021710000001,109.00021710000001
20,utility_gw,994.41776736,1072.82031115
21,distributed_gw,468.0006075,468.0006076
22,cap_phs_gw,86.42,86.42
23,cap_bat_gw,153.98,153.98
24,cap_caes_gw,0.0,0.0
25,cap_vrb_gw,0.0,0.0
26,--------, , 
27,old_trans_cap,826.2500000000007,1012.5600000000006
28,add_trans_cap,186.31,214.92
29,tot_trans_cap,1012.5600000000004,1227.4800000000007
30,--------, , 
31,fossil_share,0.3558741087999997,0.2585739029629628
32,renewable_gw,2429.577892660005,2983.214148230405
33,storage_gw,240.39999999999998,240.39999999999998
34,solar_gw,1462.41837486,1540.8209187500001
35,wind_gw,967.1595178000055,1442.3932294804054
