,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4276112578846893,0.25389713021368043
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940017194229926,0.0042177790514244355
5,l2,1.629101486869185,0.12067418421253212
6,l3,1.5282545331072157,0.11320403948942329
7,wind,4.183132227056632,0.3098616464486391
8,solar,2.516497106955607,0.18640719310782256
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.49626883955646167
11,clean_share,,0.748321143258417
12,wind_curtail,0.0543,
13,solar_curtail,0.0492,
14,total_gen,13.586886709067558,
15,total_demand,13.500000000000012,
