,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.178984654921946,0.3343187723937554
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940054915678634,0.004555204393254287
5,l2,1.5448389329625383,0.12358711463700296
6,l3,1.093141597308339,0.08745132778466704
7,wind,3.122724479445392,0.24981795835563114
8,solar,2.321841264025006,0.1857473011220003
9,bio,0.24535008000000005,0.019628006399999988
10,re_share,,0.4355652594776315
11,clean_share,,0.6662317082993015
12,wind_curtail,0.0196,
13,solar_curtail,0.0181,
14,total_gen,12.563821063578898,
15,total_demand,12.50000000000001,
