,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.391486360694267,0.35131890885554107
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000126096085,0.004555200100876864
5,l2,1.5454408155552652,0.12363526524442112
6,l3,1.0933756701804236,0.08747005361443382
7,wind,2.924172536785352,0.23393380294282798
8,solar,2.303185193111327,0.184254815448906
9,bio,0.24535008000000005,0.019628006399999988
10,re_share,,0.418188618391734
11,clean_share,,0.6489219436505889
12,wind_curtail,0.0158,
13,solar_curtail,0.0148,
14,total_gen,12.559950657587596,
15,total_demand,12.50000000000001,
