,item,2030,2035
0,demand_pwh,12.50000000000001,13.500000000000012
1,--------, , 
2,coal_unabated_pwh,4.17898468,3.0780288
3,coal_ccs_pwh,0.0,0.0
4,chp_ccs_pwh,0.0,0.0
5,gas_unabated_pwh,0.05694,0.05694
6,gas_ccs_pwh,0.0,0.0
7,--------, , 
8,coal_unabated_gw,1225.61,871.62
9,coal_ccs_gw,0.0,0.0
10,chp_ccs_gw,0.0,0.0
11,gas_unabated_gw,130.0,130.0
12,gas_ccs_gw,0.0,0.0
13,beccs_gw,0.0,0.0
14,bio_gw,35.010000000000005,35.010000000000005
15,hydro_gw,434.98,459.99
16,nuclear_gw,125.01999999999998,175.45999999999998
17,--------, , 
18,onshore_gw,922.7707229837649,1444.1073156372086
19,offshore_gw,109.0002506,109.0002506
20,utility_gw,1009.4098378799999,1174.40444466
21,distributed_gw,468.00044450000007,468.0004448
22,cap_phs_gw,86.42,86.42
23,cap_bat_gw,153.98000000000002,153.98000000000002
24,cap_caes_gw,0.0,0.0
25,cap_vrb_gw,0.0,0.0
26,--------, , 
27,old_trans_cap,826.2500000000007,1038.8800000000008
28,add_trans_cap,212.63,207.69000000000003
29,tot_trans_cap,1038.8800000000008,1246.570000000001
30,--------, , 
31,fossil_share,0.3388739743999997,0.23221991111111087
32,renewable_gw,2509.1812559637647,3195.5124556972087
33,storage_gw,240.4,240.4
34,solar_gw,1477.41028238,1642.40488946
35,wind_gw,1031.7709735837648,1553.1075662372086
