,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.433807668139832,0.25435612356591325
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000351811678,0.004217778038379017
5,l2,1.6294531318030847,0.12070023198541358
6,l3,1.5287958750586466,0.11324413889323297
7,wind,4.287525531232262,0.3175944837949821
8,solar,2.4076298820507485,0.1783429542259812
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.49593743802096335
11,clean_share,,0.7480558888996098
12,wind_curtail,0.0513,
13,solar_curtail,0.0412,
14,total_gen,13.58950217180269,
15,total_demand,13.500000000000012,
