,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.394967060686205,0.3255531156063852
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000338416717,0.004217778028456824
5,l2,1.5438499739236362,0.11435925732767666
6,l3,1.0924183845537894,0.08091988033731766
7,wind,3.6994050300110577,0.2740300022230411
8,solar,2.5404857576298485,0.18818413019480343
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.4622141324178445
11,clean_share,,0.6756673500828388
12,wind_curtail,0.0306,
13,solar_curtail,0.0263,
14,total_gen,13.573416290188705,
15,total_demand,13.500000000000012,
