,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4310361099907003,0.25415082296227387
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940005174671696,0.004217778161086788
5,l2,1.6286570126657078,0.12064126019745973
6,l3,1.5268769187407083,0.1131019939807931
7,wind,4.24646785340183,0.3145531743260612
8,solar,2.4549455343474693,0.18184781735907163
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.49640099168513285
11,clean_share,,0.7483183258633856
12,wind_curtail,0.061,
13,solar_curtail,0.0555,
14,total_gen,13.590273514321089,
15,total_demand,13.500000000000012,
