,item,2030,2035
0,demand_pwh,12.50000000000001,13.500000000000012
1,--------, , 
2,coal_unabated_pwh,4.39455113,3.4310361100000004
3,coal_ccs_pwh,0.0,0.0
4,chp_ccs_pwh,0.0,0.0
5,gas_unabated_pwh,0.05694,0.05694
6,gas_ccs_pwh,0.0,0.0
7,--------, , 
8,coal_unabated_gw,1225.61,934.1199999999999
9,coal_ccs_gw,0.0,0.0
10,chp_ccs_gw,0.0,0.0
11,gas_unabated_gw,130.0,130.0
12,gas_ccs_gw,0.0,0.0
13,beccs_gw,0.0,0.0
14,bio_gw,35.010000000000005,35.010000000000005
15,hydro_gw,434.98,459.99
16,nuclear_gw,125.01999999999998,175.45999999999998
17,--------, , 
18,onshore_gw,896.3324472990073,1338.3503540582344
19,offshore_gw,109.00001975211978,109.72421291181442
20,utility_gw,872.73206922,1059.6424480300002
21,distributed_gw,468.00036425999997,468.00036435000004
22,cap_phs_gw,86.42,86.42
23,cap_bat_gw,153.99,153.99
24,cap_caes_gw,0.0,0.0
25,cap_vrb_gw,0.0,0.0
26,--------, , 
27,old_trans_cap,826.2500000000007,1051.1500000000003
28,add_trans_cap,224.9,176.64000000000004
29,tot_trans_cap,1051.1500000000008,1227.7900000000004
30,--------, , 
31,fossil_share,0.35611929039999973,0.25836860074074053
32,renewable_gw,2346.064900531127,2975.7173793500488
33,storage_gw,240.40999999999997,240.40999999999997
34,solar_gw,1340.73243348,1527.64281238
35,wind_gw,1005.332467051127,1448.0745669700486
