,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.436743069901755,0.22911620466011684
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940124323436196,0.003796008288229077
5,l2,1.6243781033874247,0.10829187355916157
6,l3,1.521542075497401,0.10143613836649333
7,wind,5.3415726345557895,0.356104842303719
8,solar,2.892339223035688,0.19282261486904573
9,bio,0.24535008000000005,0.016356671999999992
10,re_share,,0.5489274571727647
11,clean_share,,0.7750121410984196
12,wind_curtail,0.1144,
13,solar_curtail,0.0942,
14,total_gen,15.118865310701493,
15,total_demand,15.00000000000001,
