,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.429013075491597,0.22860087169943963
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000416767006,0.003796000277844668
5,l2,1.6235226391647348,0.10823484261098225
6,l3,1.5200504625501636,0.10133669750334418
7,wind,5.682760558941779,0.3788507039294517
8,solar,2.5500550456678375,0.17000366971118905
9,bio,0.24535008000000005,0.016356671999999992
10,re_share,,0.5488543736406407
11,clean_share,,0.7747825857549672
12,wind_curtail,0.1192,
13,solar_curtail,0.0706,
14,total_gen,15.107691865983782,
15,total_demand,15.00000000000001,
