,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.080432286252657,0.22818016935204846
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000262337931,0.004217777972102167
5,l2,1.6268134838851782,0.12050470251001309
6,l3,1.5225221989819275,0.11277942214680935
7,wind,4.563707943436646,0.33805244025456604
8,solar,2.5048563831664996,0.1855449172715924
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.5235973575261584
11,clean_share,,0.7750555621829809
12,wind_curtail,0.0855,
13,solar_curtail,0.0737,
14,total_gen,13.600622378346287,
15,total_demand,13.500000000000012,
