,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.1814006320458015,0.33451205056366384
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940001077331236,0.004555200086186495
5,l2,1.5448768267786106,0.12359014614228875
6,l3,1.092349196651931,0.0873879357321544
7,wind,3.2175384293567926,0.2574030743485432
8,solar,2.227886660571522,0.1782309328457216
9,bio,0.24535008000000005,0.019628006399999988
10,re_share,,0.4356340071942648
11,clean_share,,0.6662400954687079
12,wind_curtail,0.0226,
13,solar_curtail,0.0226,
14,total_gen,12.566341826481988,
15,total_demand,12.50000000000001,
