,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.087496069634367,0.22870341256550844
3,l4_ccs,0.0,0.0
4,l4_unabated,0.0569400149309989,0.004217778883777693
5,l2,1.6272744329201807,0.12053884688297624
6,l3,1.5229933279718029,0.11281432059050381
7,wind,4.669984081501259,0.3459247467778708
8,solar,2.3940120246985828,0.1773342240517467
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.5232589708296175
11,clean_share,,0.7747862183030976
12,wind_curtail,0.0829,
13,solar_curtail,0.0615,
14,total_gen,13.604050031657192,
15,total_demand,13.500000000000012,
