,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4367453363249183,0.2291163557549944
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694012399446514,0.003796008266297673
5,l2,1.6253673986654475,0.10835782657769642
6,l3,1.5215420524955783,0.10143613683303848
7,wind,5.342109744184838,0.3561406496123223
8,solar,2.89126598880513,0.19275106592034186
9,bio,0.24535008000000005,0.016356671999999992
10,re_share,,0.5488917155326641
11,clean_share,,0.775042350943399
12,wind_curtail,0.1139,
13,solar_curtail,0.0953,
14,total_gen,15.119320724470379,
15,total_demand,15.00000000000001,
