,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.41999272277851,0.2533327942798894
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940007557673526,0.004217778337605443
5,l2,1.6290446605070557,0.12066997485237438
6,l3,1.5264559122106032,0.11307080831189642
7,wind,4.530101866359554,0.3355631012118185
8,solar,2.176670655825185,0.161234863394458
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.49679796460627645
11,clean_share,,0.7487128277705473
12,wind_curtail,0.0582,
13,solar_curtail,0.0369,
14,total_gen,13.584555905238583,
15,total_demand,13.500000000000012,
