,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.0713215240604175,0.22750529807854925
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000277558838,0.0042177779833769136
5,l2,1.627373476512588,0.12054618344537678
6,l3,1.5215104149395406,0.11270447518070661
7,wind,4.835054162975255,0.3581521602203889
8,solar,2.2371721656323205,0.16571645671350507
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.523868616933894
11,clean_share,,0.7752933555599775
12,wind_curtail,0.0862,
13,solar_curtail,0.0523,
14,total_gen,13.594721826895709,
15,total_demand,13.500000000000012,
