,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.181471561573412,0.3345177249258727
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940003904322606,0.004555200312345804
5,l2,1.5446215373628396,0.12356972298902706
6,l3,1.0923394478325026,0.08738715582660013
7,wind,3.216141050652402,0.257291284052192
8,solar,2.2295696107975904,0.17836556886380708
9,bio,0.24535008000000005,0.019628006399999988
10,re_share,,0.4356568529159991
11,clean_share,,0.6662417381316262
12,wind_curtail,0.0223,
13,solar_curtail,0.0224,
14,total_gen,12.566433292123069,
15,total_demand,12.50000000000001,
