,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4378516413287037,0.2546556771354593
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000294841832,0.004217777996179131
5,l2,1.6293530076689802,0.12069281538288731
6,l3,1.527409606943823,0.11314145236620901
7,wind,4.34823776391859,0.32209168621619155
8,solar,2.347975897169966,0.1739241405311084
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.49601582674729994
11,clean_share,,0.7480241744963962
12,wind_curtail,0.0575,
13,solar_curtail,0.0461,
14,total_gen,13.59311799997848,
15,total_demand,13.500000000000012,
