,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.3958532677438615,0.32561876057361905
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000191681451,0.004217777919764034
5,l2,1.5438010442317687,0.11435563290605684
6,l3,1.0916074020354876,0.08085980755818419
7,wind,3.7818613916841706,0.28013788086549385
8,solar,2.4608753523554947,0.1822870631374439
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.46242494400293777
11,clean_share,,0.6758144644671787
12,wind_curtail,0.0342,
13,solar_curtail,0.0315,
14,total_gen,13.576288539967598,
15,total_demand,13.500000000000012,
