,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4310361292147435,0.25415082438627706
3,l4_ccs,0.0,0.0
4,l4_unabated,0.056940003739092075,0.004217778054747557
5,l2,1.6290546288705532,0.12067071324967049
6,l3,1.526876897644228,0.11310199241809085
7,wind,4.245966664876884,0.3145160492501393
8,solar,2.4551065272068913,0.18185974275606584
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.4963757920062052
11,clean_share,,0.7483225776739665
12,wind_curtail,0.0615,
13,solar_curtail,0.0553,
14,total_gen,13.590330931552392,
15,total_demand,13.500000000000012,
