,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,0,0,0
1,Beijing,0,0,0
2,Chongqing,0,0,0
3,EastInnerMongolia,0,0,0
4,Fujian,0,0,0
5,Gansu,0,0,0
6,Guangdong,0,0,0
7,Guangxi,0,0,0
8,Guizhou,0,0,0
9,Hainan,0,0,0
10,Hebei,0,0,0
11,Heilongjiang,0,0,0
12,Henan,0,0,0
13,Hubei,0,0,0
14,Hunan,0,0,0
15,Jiangsu,0,0,0
16,Jiangxi,0,0,0
17,Jilin,0,0,0
18,Liaoning,0,0,0
19,Ningxia,0,0,0
20,Qinghai,0,0,0
21,Shaanxi,0,0,0
22,Shandong,0,0,0
23,Shanghai,0,0,0
24,Shanxi,0,0,0
25,Sichuan,0,0,0
26,Tianjin,0,0,0
27,WestInnerMongolia,0,0,0
28,Xinjiang,0,0,0
29,Xizang,0,0,0
30,Yunnan,0,0,0
31,Zhejiang,0,0,0
